sim_clock_hour,soc_kwh_in,pref_logged_kW,lp_expert_pref0_kW,,,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,price_13,price_14,price_15,price_16,price_17,price_18,price_19,price_20,price_21,price_22,price_23
0,1000,500,500,0,0,30623.41149,0.028,0.03,0.035,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045
1,568.9112174,204.1170709,204.1170709,9.95E-13,9.90E-25,0.028,0.03,0.035,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.00314868
2,353.6440407,-500,-500,0,0,0.03,0.035,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.00314868,0.013636234
3,739.4200334,-500,-500,0,0,0.035,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.00314868,0.013636234,0.006030021
4,1172.173501,-500,-500,0,0,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.00314868,0.013636234,0.006030021,0.015194304
5,1605.769887,-204.4527504,-204.4527504,-9.95E-13,9.90E-25,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.00314868,0.013636234,0.006030021,0.015194304,0.058868732
6,1800,500,500,0,0,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.00314868,0.013636234,0.006030021,0.015194304,0.058868732,-0.033690597
7,1379.176046,500,500,0,0,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.00314868,0.013636234,0.006030021,0.015194304,0.058868732,-0.033690597,0.031525847
8,933.9441412,500,500,0,0,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.00314868,0.013636234,0.006030021,0.015194304,0.058868732,-0.033690597,0.031525847,0.035577007
9,491.6495297,306.9995049,306.9995049,1.99E-12,3.96E-24,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.00314868,0.013636234,0.006030021,0.015194304,0.058868732,-0.033690597,0.031525847,0.035577007,0.014650409
