sim_clock_hour,soc_kwh_in,pref_logged_kW,lp_expert_pref0_kW,,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,price_13,price_14,price_15,price_16,price_17,price_18,price_19,price_20,price_21,price_22,price_23
0,1000,500,500,0,0,32514.08107,0.028,0.03,0.035,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045
1,568.9112174,204.1170709,204.1170709,9.95E-13,9.89547E-25,0.028,0.03,0.035,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907
2,353.6440407,-500,-500,0,0,0.03,0.035,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279
3,739.4200334,-500,-500,0,0,0.035,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851
4,1172.173501,-500,-500,0,0,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979
5,1605.769887,-204.4527504,-204.4527504,-1.99E-12,3.95819E-24,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168
6,1800,500,500,0,0,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238
7,1379.176046,500,500,0,0,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841
8,933.9441412,500,500,0,0,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907
9,491.6495297,306.9995051,306.9995049,-1.71E-07,2.93231E-14,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984
10,213.7611817,14.4854546,14.48545445,-1.53E-07,2.3259E-14,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578
11,202.8672714,-499.8474646,-500,-0.152535448,0.023267063,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161
12,638.188503,-500,-500,0,0,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285
13,1108.906102,-500,-500,0,0,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291
14,1569.912501,-242.14886,-242.197367,-0.048507002,0.002352929,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291,0.414983563
15,1800,0,0,0,0,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291,0.414983563,-0.015712599
16,1797.205961,-2.939929619,-2.941093483,-0.001163864,1.35458E-06,0.095,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291,0.414983563,-0.015712599,-0.074694649
17,1786.171729,168.5500342,169.6544521,1.104417832,1.219738748,0.11,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291,0.414983563,-0.015712599,-0.074694649,1.08321122
18,1618.576591,497.8886159,500,2.1113841,4.457942818,0.09,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291,0.414983563,-0.015712599,-0.074694649,1.08321122,-0.040520782
19,1168.521346,500,500,0,0,0.07,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291,0.414983563,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151
20,693.6884975,500,500,0,0,0.055,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291,0.414983563,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347
21,218.6884975,-10.39308206,19.67210258,30.06518464,903.9153274,0.045,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291,0.414983563,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329
22,200,-224.839694,-184.2105263,40.62916767,1650.729266,-0.45462907,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291,0.414983563,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386
23,360.9525339,-445.6844991,-500,-54.31550087,2950.173635,0.183035279,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291,0.414983563,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239
24,721.0179827,-500,-500,0,0,0.427999851,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291,0.414983563,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661
25,1143.421958,419.183775,308.865219,-110.318556,12170.1838,-0.177283979,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291,0.414983563,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802
26,809.7139027,500,500,0,0,-0.50159168,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291,0.414983563,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969
27,353.1910709,-455.5871535,-500,-44.41284651,1972.500935,0.008788238,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291,0.414983563,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849
28,684.9726352,-494.5558528,-500,-5.444147203,29.63873877,0.236204841,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291,0.414983563,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448
29,1111.671469,-491.5667384,-500,-8.433261561,71.11990056,0.494273907,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291,0.414983563,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508
30,1538.101936,481.5185314,500,18.4814686,341.5646816,-0.43634984,-0.47714578,0.312371161,0.214634285,0.633514291,0.414983563,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866
31,1166.200449,498.5364542,500,1.463545781,2.141966253,-0.47714578,0.312371161,0.214634285,0.633514291,0.414983563,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885
32,723.7490833,-483.286969,-500,-16.71303102,279.3254059,0.312371161,0.214634285,0.633514291,0.414983563,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844
33,1107.21664,-499.9359453,-500,-0.064054726,0.004103008,0.214634285,0.633514291,0.414983563,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594
34,1580.813344,453.2289904,500,46.77100961,2187.52734,0.633514291,0.414983563,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257
35,1254.917113,15.20421268,110.4390664,95.23485376,9069.677371,0.414983563,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212
36,1223.339484,487.4611261,500,12.53887389,157.2233584,-0.015712599,-0.074694649,1.08321122,-0.040520782,-0.218974151,-0.345337347,0.128184329,0.128125386,-0.082946239,0.020136661,0.144236802,0.308958969,0.468720849,0.111926448,-0.685912508,0.315689866,-0.52287885,-0.013566844,-0.539518594,0.040840257,-0.281426212,0.110554467
