sim_clock_hour,soc_kwh_in,pref_logged_kW,lp_expert_pref0_kW,price_0,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,price_13,price_14,price_15,price_16,price_17,price_18,price_19,price_20,price_21,price_22,price_23
0.0,1000.0,500.0,500.0,0.035,0.032,0.03,0.028,0.03,0.035,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045
1.0,568.9112174018662,204.11707094933172,204.11707094933288,0.032,0.03,0.028,0.03,0.035,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861
2.0,353.64404074527243,-500.0,-500.0,0.03,0.028,0.03,0.035,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918
3.0,739.4200333651445,-500.0,-500.0,0.028,0.03,0.035,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759
4.0,1172.1735012209651,-500.0,-500.0,0.03,0.035,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415
5.0,1605.7698870795032,-204.452750442627,-204.45275044262823,0.035,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236
6.0,1800.0,500.0,500.0,0.045,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508
7.0,1379.1760460416112,500.0,500.0,0.055,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616
8.0,933.9441411626208,500.0,500.0,0.05,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434
9.0,491.6495296841842,306.99950493071873,306.9995049307202,0.04,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563
10.0,213.76118187080584,14.485454600847136,14.485454600848255,0.03,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386
11.0,202.8672714317043,-500.0,-500.0,0.025,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257
12.0,638.2959216937603,-500.0,-500.0,0.02,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441
13.0,1109.022286973799,-500.0,-500.0,0.022,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805
14.0,1570.028685834101,-242.07506754304953,-242.0750675430516,0.025,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618
15.0,1800.0,0.0,-0.0,0.035,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618,-0.015712598842999567
16.0,1797.207066861941,-2.939929619009471,-2.9399296190094426,0.055,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618,-0.015712598842999567,-0.07469464875415571
17.0,1786.1728351312995,155.57946259056368,169.6556159276837,0.075,0.095,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618,-0.015712598842999567,-0.07469464875415571,1.0832112203929387
18.0,1629.0023105711402,500.0,500.0,0.095,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618,-0.015712598842999567,-0.07469464875415571,1.0832112203929387,-0.04052078226612117
19.0,1178.6147481962603,498.9533841573637,500.0,0.11,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618,-0.015712598842999567,-0.07469464875415571,1.0832112203929387,-0.04052078226612117,-0.21897415136062573
20.0,704.5261761592224,500.0,500.0,0.09,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618,-0.015712598842999567,-0.07469464875415571,1.0832112203929387,-0.04052078226612117,-0.21897415136062573,-0.3453373466012704
21.0,229.6090332467644,-63.08238065664366,31.167403417646735,0.07,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618,-0.015712598842999567,-0.07469464875415571,1.0832112203929387,-0.04052078226612117,-0.21897415136062573,-0.3453373466012704,0.12818432929878507
22.0,227.90402223621376,-169.40434291307403,-154.8378713303014,0.055,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618,-0.015712598842999567,-0.07469464875415571,1.0832112203929387,-0.04052078226612117,-0.21897415136062573,-0.3453373466012704,0.12818432929878507,0.1281253861097455
23.0,346.178005058043,-420.86947575663044,-500.0,0.045,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618,-0.015712598842999567,-0.07469464875415571,1.0832112203929387,-0.04052078226612117,-0.21897415136062573,-0.3453373466012704,0.12818432929878507,0.1281253861097455,-0.08294623878875812
24.0,682.2927085837018,-499.449977118266,-500.0,-0.4546290702855861,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618,-0.015712598842999567,-0.07469464875415571,1.0832112203929387,-0.04052078226612117,-0.21897415136062573,-0.3453373466012704,0.12818432929878507,0.1281253861097455,-0.08294623878875812,0.02013666134985301
25.0,1102.5478833871264,376.42986899892554,265.83987724960673,0.18303527932063918,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618,-0.015712598842999567,-0.07469464875415571,1.0832112203929387,-0.04052078226612117,-0.21897415136062573,-0.3453373466012704,0.12818432929878507,0.1281253861097455,-0.08294623878875812,0.02013666134985301,0.14423680217424545
26.0,803.2532573656005,498.0385683148301,500.0,0.4279998510683759,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618,-0.015712598842999567,-0.07469464875415571,1.0832112203929387,-0.04052078226612117,-0.21897415136062573,-0.3453373466012704,0.12818432929878507,0.1281253861097455,-0.08294623878875812,0.02013666134985301,0.14423680217424545,0.30895896856423344
27.0,350.7931977561114,-443.1202988794198,-500.0,-0.17728397943577415,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618,-0.015712598842999567,-0.07469464875415571,1.0832112203929387,-0.04052078226612117,-0.21897415136062573,-0.3453373466012704,0.12818432929878507,0.1281253861097455,-0.08294623878875812,0.02013666134985301,0.14423680217424545,0.30895896856423344,0.468720849469339
28.0,672.7481061833852,-461.0159245158946,-500.0,-0.5015916802745236,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618,-0.015712598842999567,-0.07469464875415571,1.0832112203929387,-0.04052078226612117,-0.21897415136062573,-0.3453373466012704,0.12818432929878507,0.1281253861097455,-0.08294623878875812,0.02013666134985301,0.14423680217424545,0.30895896856423344,0.468720849469339,0.11192644837348163
29.0,1071.9857241454629,-453.04416634619463,-500.0,0.008788237994625508,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618,-0.015712598842999567,-0.07469464875415571,1.0832112203929387,-0.04052078226612117,-0.21897415136062573,-0.3453373466012704,0.12818432929878507,0.1281253861097455,-0.08294623878875812,0.02013666134985301,0.14423680217424545,0.30895896856423344,0.468720849469339,0.11192644837348163,-0.6859125081892656
30.0,1465.7800198178988,440.8813716676948,500.0,0.2362048408996616,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618,-0.015712598842999567,-0.07469464875415571,1.0832112203929387,-0.04052078226612117,-0.21897415136062573,-0.3453373466012704,0.12818432929878507,0.1281253861097455,-0.08294623878875812,0.02013666134985301,0.14423680217424545,0.30895896856423344,0.468720849469339,0.11192644837348163,-0.6859125081892656,0.3156898664801082
31.0,1121.203356642998,499.56236214718393,500.0,0.4942739065776434,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618,-0.015712598842999567,-0.07469464875415571,1.0832112203929387,-0.04052078226612117,-0.21897415136062573,-0.3453373466012704,0.12818432929878507,0.1281253861097455,-0.08294623878875812,0.02013666134985301,0.14423680217424545,0.30895896856423344,0.468720849469339,0.11192644837348163,-0.6859125081892656,0.3156898664801082,-0.5228788498406101
32.0,680.7182554113367,-490.65787517505044,-500.0,-0.43634983980480563,-0.4771457803387386,0.3123711610385257,0.2146342853161441,0.6335142914725805,0.4149835628999618,-0.015712598842999567,-0.07469464875415571,1.0832112203929387,-0.04052078226612117,-0.21897415136062573,-0.3453373466012704,0.12818432929878507,0.1281253861097455,-0.08294623878875812,0.02013666134985301,0.14423680217424545,0.30895896856423344,0.468720849469339,0.11192644837348163,-0.6859125081892656,0.3156898664801082,-0.5228788498406101,-0.013566844411844158
